algorithm,size,data_type,time_ms
merge,1000,random,0.073917
quick,1000,random,0.008986
heap,1000,random,0.027056
merge,1000000,random,109.764500
quick,1000000,random,64.599681
heap,1000000,random,87.858472
merge,10,random,0.001430
quick,10,random,0.000125
heap,10,random,0.000195
merge,10000,random,0.741417
quick,10000,random,0.093500
heap,10000,random,0.381347
merge,10000,random,0.993319
quick,10000,random,0.511639
heap,10000,random,0.462764
merge,1000000,random,91.894042
quick,1000000,random,16.734583
heap,1000000,random,78.109278
merge,10000,random,0.812750
quick,10000,random,0.093875
heap,10000,random,0.416194
merge,100,random,0.008333
quick,100,random,0.001125
heap,100,random,0.002917
merge,1000,random,0.096195
quick,1000,random,0.038444
heap,1000,random,0.036167
merge,1000,random,0.073458
quick,1000,random,0.008931
heap,1000,random,0.029430
merge,100000,random,10.915014
quick,100000,random,6.103306
heap,100000,random,6.747042
merge,100,random,0.008306
quick,100,random,0.001125
heap,100,random,0.002528
merge,100000,random,7.726153
quick,100000,random,1.033972
heap,100000,random,5.157986
merge,1000000,random,91.151055
quick,1000000,random,11.812695
heap,1000000,random,70.460333
merge,100,random,0.009292
quick,100,random,0.002444
heap,100,random,0.003527
merge,10,random,0.000722
quick,10,random,0.000125
heap,10,random,0.000153
merge,10,random,0.000722
quick,10,random,0.000111
heap,10,random,0.000180
merge,100000,random,7.987875
quick,100000,random,0.988792
heap,100000,random,5.605375
